Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.08     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<unsigned int*>::allocate(unsigned long, void const*)
  0.00      2.08     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<unsigned int*>::_M_max_size() const
  0.00      2.08     0.00        9     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_allocate_map(unsigned long)
  0.00      2.08     0.00        9     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate_map(unsigned int**, unsigned long)
  0.00      2.08     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<unsigned int*> >::deallocate(std::allocator<unsigned int*>&, unsigned int**, unsigned long)
  0.00      2.08     0.00        9     0.00     0.00  std::allocator_traits<std::allocator<unsigned int*> >::allocate(std::allocator<unsigned int*>&, unsigned long)
  0.00      2.08     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<std::vector<bool, std::allocator<bool> > >::~new_allocator()
  0.00      2.08     0.00        8     0.00     0.00  std::allocator<std::vector<bool, std::allocator<bool> > >::~allocator()
  0.00      2.08     0.00        8     0.00     0.00  unsigned int** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int*>(unsigned int* const*, unsigned int* const*, unsigned int**)
  0.00      2.08     0.00        8     0.00     0.00  std::_Vector_base<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_get_Tp_allocator()
  0.00      2.08     0.00        8     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::_M_reallocate_map(unsigned long, bool)
  0.00      2.08     0.00        8     0.00     0.00  unsigned int** std::__niter_wrap<unsigned int**>(unsigned int** const&, unsigned int**)
  0.00      2.08     0.00        8     0.00     0.00  unsigned int** std::__copy_move_a<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**)
  0.00      2.08     0.00        8     0.00     0.00  unsigned int** std::__copy_move_a1<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**)
